0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-4.7609158,-9.711797,-2.927054,-6.466875,-14.224636,-9.279153,-7.815156,-4.051233,-5.448007,-6.762172,-5.021125,-13.085184,-6.0697,-12.912253,-3.567495,-7.453978,-4.601561,-3.2693677,-4.920665,-5.6865435,-7.2872744,-5.4041324,-7.877198,-4.13562,-7.901932,-4.6558857,-4.5637283,-6.4951,-4.8552413,-7.21714,-2.8652139,-5.3837714,-1.9437345,-4.2631087,-3.4662309,-11.7861595,-4.642085,-7.6063576,-5.365552,-7.8873587,-7.540305,-5.9894896,-5.4558687,-11.946361,-5.6995754,-5.1017494,-7.2160506,-5.93525,-3.8498783,-5.9289093
-2.8334239,-5.0505457,-1.0383204,-4.8456593,-9.733992,-4.277845,-4.454852,-2.6095302,-3.7941055,-4.029707,-4.028336,-9.371021,-2.3636208,-10.364371,-2.118903,-4.6306796,-2.8396006,-3.2455304,-3.82296,-1.1349536,-4.2545757,-1.2065736,-5.444458,-2.8084629,-4.838678,-2.6943161,-3.594077,-3.3503065,-2.4937742,-3.299799,-1.45365,-2.5213566,0.91262865,-1.3770447,0.46219715,-7.938813,-3.248599,-4.7733054,-1.3030988,-4.5709977,-5.586188,-4.258528,-1.8538102,-8.746401,-4.534689,-3.1354327,-1.8302481,-5.076884,-1.9246194,-4.057595
-2.5252385,-3.148123,-1.1067485,-6.0379133,-5.6230597,-2.6014981,-2.201751,-2.6633363,-2.0886126,-4.6289062,-4.8945255,-7.3572884,0.2645023,-8.324536,-1.1211311,-3.9677284,-2.4037473,-2.0871572,-1.7398027,-0.26099777,-3.1318798,-1.6981536,-3.4036794,-1.9378709,-2.8609216,-1.8076178,-2.2571592,-2.6316776,-1.937332,-2.1963654,0.053582907,-1.1439202,0.85946995,-1.0576366,0.76346856,-5.388328,-2.2293215,-3.931268,-0.40965247,-2.2556357,-4.177847,-3.3806846,-1.0655593,-6.9152803,-3.1446235,-3.5206754,-0.36183596,-2.8821995,-1.4528483,-2.6593535
-0.38018063,0.2630064,-2.265747,-4.1411157,-0.08263146,-1.7929548,0.58519495,-1.1500149,-0.79682124,-2.664695,-3.5708656,-3.782698,1.5549886,-5.881396,0.057607476,-1.64025,-3.036436,-1.2196056,-1.1139715,-1.1194462,0.46889558,0.396504,-1.365478,-1.2829269,-0.033142496,-1.2905678,-0.9951726,1.7914175,-0.8466275,-1.1962433,0.31763375,0.41378787,-0.8393488,-1.3309984,2.3081665,-3.4880621,-0.24012293,-2.6815994,2.1718497,1.9999628e-05,-1.4620423,-2.7245848,1.668511,-1.3058169,-0.91901547,-2.572178,2.189191,-0.8036022,0.8374233,-2.2415495
-1.39478,1.23295,-2.2350006,-3.2079134,0.8636698,-1.1028348,0.41771042,-0.542435,-0.6100905,-1.6543896,-1.3247268,-1.2542372,-2.4387765,-3.9254107,-0.41095975,-1.1085851,-3.2631447,-0.8840067,-1.1129568,-0.8914789,1.5992541,0.71493053,-1.0707425,-0.33769056,-0.49130782,-0.9762681,-0.41726255,1.9599053,-1.3413782,-0.16490293,0.7508513,1.1306137,-0.08303115,-0.6302823,1.5151767,-2.5031922,0.3547489,-2.839675,2.7305014,-0.4045996,-0.47509593,-1.7979387,2.5500894,-0.3094226,-1.3365126,-0.514736,1.5637562,-0.22508015,1.1292304,-2.1215665
0.89700663,1.8153373,-1.9914736,-1.6226647,2.0109117,0.42916244,0.59207076,1.5259756,-0.094979465,0.17202522,0.8120497,-0.9806254,0.13875018,-1.3701608,-0.25896233,0.5970352,-1.5327373,-0.08031161,0.75861627,-1.2475576,2.2470303,1.5184034,1.0169408,-0.20973028,0.12749836,0.13627599,-0.33543494,2.3207176,0.8110156,-0.030450134,0.5109196,1.2653039,-0.41492987,-0.9730638,1.245232,0.08685967,0.6204218,0.1743711,2.804029,-1.1638644,0.5584217,-0.5110962,2.4334104,1.3589258,0.7025281,0.8851456,1.9539585,-0.12761816,1.549915,-0.7229643
2.2610157,2.0964417,-2.0557897,-0.4636538,4.8288407,1.9160196,1.0270894,1.3037031,0.1669532,1.9990321,-0.94987154,-1.1184409,0.80025053,1.3895572,-0.055056296,1.9416388,0.617735,0.3289596,1.5109581,-1.5425503,2.7968876,2.7071657,2.7628489,-1.1073576,1.6865957,0.022059375,-0.86554617,1.4402124,0.3726525,1.2282144,-0.17466488,1.2684011,-0.50499827,-1.5180595,1.7895905,2.145051,0.44258192,2.7321494,3.2854915,-0.906626,1.1334115,-0.520188,1.640529,3.4702768,0.9751221,0.34146586,2.6450613,0.35583615,1.4354122,-0.23601398
1.4720895,1.307602,-2.0303555,-1.0875913,6.092331,1.7292345,0.2567838,0.629034,0.020179473,1.2753834,-1.2099905,-2.7077599,0.48179814,2.1409416,-0.21047282,2.023785,0.6452128,-0.14878091,1.7410252,-1.9282123,1.8809366,0.7060548,1.7978029,-1.3556802,1.6415575,-0.33485252,-1.3011979,-1.2366347,0.3586115,0.65522546,0.041065414,-0.4672156,-0.960485,-1.5819477,0.7260893,3.0857422,-0.16645028,3.235772,2.099528,-0.6072053,0.72156936,-0.9311414,-0.71856636,3.46823,-0.33040002,-0.22906432,1.0659987,0.029426947,-0.9969171,-0.20726423
2.8392541,0.91332567,-0.15043618,-1.2798884,5.6729007,0.7782752,2.0792065,0.4616651,1.3507961,0.99346226,-2.3147905,-4.185517,2.2102225,2.924041,0.71479595,1.7173104,0.9190923,0.4482675,2.833951,-0.5643495,-0.36142105,0.8035145,3.8780434,1.5993537,2.274872,0.6981341,0.18462604,-0.3224251,0.62391764,-0.20744854,1.5137385,-1.1674563,-0.68031025,0.16450462,-0.16389537,2.6873493,0.20791595,5.057803,0.52755994,0.2558587,2.5376716,-1.0681071,-0.3565959,1.1596042,1.4673772,-0.2426577,-1.764441,1.5982069,0.45149362,0.11290215
4.200997,0.6334195,1.0063808,-0.35775518,4.420711,-0.50127447,2.7889423,1.4365191,1.1446347,1.5694361,-0.17315155,-2.9102812,-0.3299138,2.430287,0.6423641,1.7221235,0.6224301,1.3370396,2.6121242,-0.7483812,-1.1688875,0.03209349,3.9953468,2.2017415,3.4304419,1.8959265,0.3158965,0.099495746,0.21553834,1.9917929,0.9039885,-0.46900445,-0.829377,2.1035142,-0.117212206,1.8226317,0.015266148,3.928062,-0.28300816,1.3084029,2.6949387,-0.06327665,0.5800678,-1.0154356,2.3392704,1.1126567,-3.8871963,1.6418912,0.99452984,0.42669138
