0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-0.5495314,-1.1323482,-1.257059,-0.8758792,-3.5332484,-1.3778721,-1.4258718,-0.6335217,-0.36701074,-0.47912624,-0.69961536,-3.5295546,-1.0905964,-3.1654577,-0.48719263,0.5745748,-0.10144311,-1.1089541,-0.2970169,-0.8182526,-1.3361931,-0.17938626,-0.6785027,-0.4800478,-0.9814242,-0.54027236,-0.97212535,-0.8965703,-0.9963001,-0.3190817,-0.62607384,-1.7794048,-1.5268426,0.41483784,-1.3871363,-2.1729445,0.10680205,-0.041974667,-0.40692237,-1.1412002,-1.4519539,-1.1868942,-0.39522105,-2.5762491,-0.6714471,-0.51011276,-2.5761495,-0.81949157,0.20616914,-1.1043429
0.24793649,-0.35984206,0.02542572,-1.5792242,-2.5742579,-1.4544506,-0.50919765,-0.8123115,0.20624933,-1.4431942,-0.64039415,-1.9725888,0.83685297,-3.6549666,-0.08435293,-0.66145915,-0.8786831,-0.69731987,-0.6125954,-0.17476131,0.17599921,-0.26118624,-0.4340895,-0.27403665,-1.753125,-0.36849833,-0.73203784,-2.2117476,0.5560734,-0.14626777,-0.53465503,-0.5263102,-0.40355775,-0.30200303,-0.07410607,-2.1020393,-0.065451786,-0.10624961,0.48976505,0.51368177,-1.7132635,-0.74470633,-0.75487745,-1.1295362,-0.9765412,-1.1113393,-0.6640016,-0.61791074,-0.89159375,-0.20807068
1.886288,-0.3450687,1.1473947,0.0040164064,-1.1308222,-0.72018063,0.1603417,0.8460033,0.7498009,0.58715945,0.62391394,0.6301719,-1.0454307,-2.6333327,0.03803725,1.0878531,0.19171654,0.6201802,0.760182,0.62858653,1.0944455,0.11263783,1.3740819,0.13813853,-0.04837768,0.38251045,0.115901545,0.20757532,0.15313722,1.5345483,0.37271783,-0.20295952,0.9701922,0.17845291,-0.43973008,-0.6315961,0.56838804,0.26802102,0.97103196,0.44519174,-0.19010949,0.2787883,0.19977708,-0.15071492,0.8737534,-0.056085065,0.41846827,0.68352205,0.28813568,-0.5339901
0.72955775,0.33599442,-0.3123059,0.48781383,0.32904273,0.64328206,-0.31631804,0.08787665,0.667784,1.4838768,0.4486634,0.37526342,0.3649197,-0.18250708,0.07892028,2.292978,1.5199198,-0.16623256,1.5832742,-0.36957863,1.3560977,-0.42085654,1.2384415,-0.40897736,-0.09574368,0.25277153,0.40616515,1.2042353,0.07536191,-0.2677946,0.827808,-0.09638953,0.6937219,-0.31112173,0.57573366,1.5889572,0.7807854,1.6264247,0.93050385,-0.57783294,0.6628552,-0.11480294,0.65324545,1.3935459,-0.22468413,0.66339266,0.8663584,0.795779,0.92675066,0.18334162
0.8295327,0.16962713,-0.96007174,-0.17627303,1.332454,0.8067556,0.56540704,0.035837688,0.7138889,1.2527158,0.78032625,0.5654755,-0.3606724,-0.86130804,0.44515228,1.6787543,0.29241204,-0.5018426,1.2848269,-0.75362396,0.6254847,0.96232873,1.602355,0.80905116,-1.6691276,0.8599583,0.08817112,1.7609564,-0.25948194,0.33720034,0.86292946,0.20328537,-1.3799046,-0.0693361,0.25245446,-0.08622209,1.3014126,0.51320577,0.1261392,1.1846045,0.55690503,0.22285393,0.7970425,2.3980777,1.2134203,0.17872827,0.29440734,0.03477741,1.5537872,-0.3620813
1.7649049,0.46387067,-0.89991856,0.61288774,1.5218661,1.7840016,0.96897596,1.311596,1.1657,1.6096424,0.6069628,0.7891457,0.9982251,0.9303209,0.7394287,2.5266845,1.527568,0.6301751,1.6387674,0.11791199,0.84744036,1.5468326,2.8754654,1.1817135,-0.026240334,1.0605445,-0.21954912,0.9585492,0.1748314,0.8894317,1.7380108,0.92106754,-1.08493,1.3004482,0.7240122,1.6548795,1.565054,1.1955681,0.64095074,0.7870113,0.6358698,0.44810796,1.1552119,2.708927,1.8932292,0.81527025,1.2527312,0.79043424,2.2001522,0.3273859
0.7807014,0.6170866,-0.27933335,-0.08645124,3.13122,0.33313286,1.1279408,-0.13892344,1.0719206,0.4386292,-0.14679313,0.8746146,-0.024312949,0.071300514,0.6331479,0.8296819,0.7933426,0.33403432,-0.20755912,0.2870827,0.82283485,1.6343886,2.287212,0.79854715,0.73640907,0.08926754,-0.10459635,-0.09944335,0.66025215,-0.4033134,1.5838883,0.35244834,-1.0427068,0.045910005,-1.0584491,1.7939963,1.0725387,0.8102653,0.7406187,1.11514,0.25355026,0.6983804,0.5706067,2.805349,1.604294,0.18820037,1.3036655,0.40714544,0.64891785,-0.27664977
1.3384265,0.8125142,0.4727395,0.81773025,1.7032402,-1.0304323,1.289307,0.759125,-0.20623368,-0.17509612,1.0580571,0.6408935,-0.31877574,-0.22955999,0.24525209,0.3761509,0.06530438,0.64627,-0.735505,1.5736668,0.58675337,1.1966784,0.09270271,0.17715801,0.6308397,0.3616212,-0.5022404,-0.18720195,0.8464191,1.0890007,-0.7285862,0.624339,1.6083963,0.7596765,0.2978147,0.20683584,0.45624396,0.33769068,1.0431325,0.23612344,-0.6621787,0.6986686,0.71529496,1.6278278,-0.3262003,0.41384703,0.62600356,-0.77977926,0.55316603,-0.6176351
1.3902032,1.1101803,0.9764406,-0.2249391,1.8382322,-1.4397895,1.578085,-0.7325584,0.06840394,-0.060877506,0.037463266,0.23654053,1.1850879,0.18078923,0.38303182,-0.61801285,-0.63595253,-0.44649887,-0.12406616,1.2955625,0.289776,0.11084668,-0.28800514,0.41486832,1.5172454,1.2250497,-0.41107702,-0.28413323,0.6347929,-0.27042797,-0.508042,0.6480646,1.1831665,1.0108185,0.012447624,0.2957576,-0.33256164,-0.5837941,0.36530644,-0.25480086,-0.7758737,0.32077417,0.12488499,0.12568603,-0.95518935,0.6669777,-1.0372038,-0.006074842,0.26862076,-0.28333232
-0.17447564,1.5464436,-0.103756115,-0.28665304,1.1262352,-2.243144,0.4393801,-0.5807349,-0.6439189,-0.19190009,0.3838981,-1.856392,-0.93728167,-0.9663827,-0.23717937,-0.6680964,-0.80132693,-0.5973802,-0.5886106,0.4117584,-0.6112707,0.05174833,-0.11208253,0.14901125,1.8880738,1.0620861,-0.5094136,-0.16222462,0.009837874,-0.10555253,-0.2420682,-0.41838315,-0.4155847,0.3066612,-0.29870278,-0.7050991,-0.68592596,-1.7792923,-0.17268175,-0.19607094,-0.8848349,-0.08247257,0.11754042,-0.86522955,-0.03300126,0.18687901,-2.9800148,-0.0029596882,0.32115182,-1.331033
-0.54255676,1.7580392,-0.40699533,0.060040034,1.9309077,-0.6994888,0.89694834,-0.28120825,-0.77411795,-1.1809913,-0.6857913,-2.4797213,-0.40253615,-0.9125198,-0.17634425,-0.3777708,0.047216922,-0.26748127,-0.8498308,1.4141409,-0.8250953,0.9639829,-0.3304342,-0.7571422,0.60148656,0.5188712,-0.5773889,-0.47086003,0.19367549,-0.17658918,0.2071876,-0.6490458,0.17143033,0.25699654,-0.16974786,0.044696588,-0.50138533,-1.193921,-0.2810992,-0.7297078,-1.2987977,-0.19873366,0.641353,-0.56979847,-1.1975499,-0.08489253,-2.9000595,-0.8807826,0.12657237,-0.9396832
-1.1768798,0.7918802,-0.118218146,-0.48957,2.0845358,-0.56051475,0.5205217,-0.73599327,-0.4934668,-0.72462696,-0.68171686,-1.9148619,0.3876806,-0.4114311,-0.13306996,-1.2482351,-1.6308243,-0.20795666,-0.28712127,0.78138614,-0.4304942,0.8372275,-1.6902144,-0.31110373,-1.3962746,-0.3390677,-0.6456562,1.0231286,0.5440463,-1.2390933,-0.7812087,-0.37419802,-0.45647246,-0.41281474,-0.89405,-1.6891555,-0.5095406,-1.1123161,-0.25445476,-0.02500396,-0.49302247,-0.6170834,0.8517546,0.36671358,-0.65336937,-0.43315563,-1.9990952,-0.884176,0.20934802,-0.46179676
-1.3359883,-0.91911817,-0.9140112,0.13868575,-1.4883196,0.42077103,-0.72039384,-0.16977116,-0.24505715,0.34032023,-0.86981064,0.024974965,-0.047913067,0.40446794,-0.2792453,-0.36085328,-0.35032234,0.11995163,-0.056469664,0.07398845,0.4079484,0.8987837,-0.56897676,-0.46696854,-1.8360119,-0.2748145,0.32663807,0.888114,-0.37738457,0.0013698511,0.09637214,0.8821229,-0.3877872,-0.18855149,-0.6633515,-0.39497945,0.69430506,-0.99030286,1.0740826,0.04369425,0.6263616,-0.28533703,1.7408885,-0.47179842,-0.8867373,0.7034893,0.25065163,-0.06339898,0.4267434,0.029578054
-2.0598326,-0.030870598,-1.6134539,-0.9495176,-1.9869472,-0.392203,-1.0723757,-1.9112339,-0.10789296,-0.77861893,-1.0408771,0.8924748,1.091036,-0.61019427,0.06278108,-0.6862249,0.062459487,-0.05041904,0.1731088,-1.8681989,1.0053115,0.7662248,-0.11816454,-0.84963644,-1.2784973,-0.88718784,0.44511405,0.061009236,-0.5642181,-1.968867,1.2234282,0.97429746,-1.9337211,-1.5491296,-0.25681356,-0.08209384,0.63423973,-0.63645816,1.2392212,-1.0847211,0.3859269,-0.6113939,0.4088226,0.026751356,-0.22370984,-0.7637285,2.0735157,0.56280303,-0.090996854,-0.45355785
-0.7267225,0.14219202,-1.9539461,-0.13119128,-1.0270764,0.020580504,-1.2385187,-0.75754744,-0.62209415,-0.039873548,-0.40472397,0.9998133,-2.2268705,-0.6545122,-0.321052,0.06462697,-0.20194377,0.22680281,0.6379664,-1.9798687,0.8746345,1.158835,0.12183311,-1.0056938,-0.036405258,-0.7370301,0.47285014,0.45933127,-0.99223316,-0.4312551,-0.08505127,0.34527206,-1.723164,-1.6959269,0.4661095,-0.20590895,0.44859713,-0.66101456,1.1654885,-0.47026333,-0.0391624,-0.7083357,0.95627165,1.4830805,0.1606932,0.314034,2.756673,-0.6138349,-0.3790585,-1.745904
