0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1.1463151,-4.160955,-2.1313474,-1.2168084,-10.667601,-3.6510658,0.25502902,1.2650937,0.004168564,0.7807311,-3.4206607,-5.112534,-3.1232207,-6.0619197,-1.6137922,-0.65539473,-0.010538203,-0.5168769,0.28361574,-4.0519414,-4.8858924,-1.9926136,1.6213205,-1.1237423,-4.7752385,0.22953354,0.35659334,-2.0437148,-3.3273923,0.24407429,-1.1255287,-3.186668,-0.8453533,0.47579154,0.89690083,-3.3896422,-1.0003898,0.704477,-3.068679,0.033934396,-0.79865825,-3.629478,-1.4432371,-4.252918,1.6480528,-1.8759176,-4.2228165,-0.33421326,-0.41497,-6.0244503
-0.008315543,-5.2726197,-2.7084217,-1.6842445,-8.475992,-4.5091047,-0.4363227,-1.7461994,-0.4632358,-0.72476107,-3.7413192,-4.6023164,-2.3188906,-7.609905,-2.336618,-1.5247692,-2.3328855,-2.3749754,-1.4329145,-4.904662,-4.8019805,-2.5588546,0.24009019,-2.0008974,-4.752709,-1.0867087,0.020603592,-2.538046,-3.654487,-1.8097653,-1.7992573,-3.38799,-0.9572356,-0.30938137,-1.0876436,-5.495565,-1.0357175,-1.3544347,-2.878266,-1.6405271,-0.94671476,-3.0102186,-2.576078,-3.377775,1.026939,-2.1488066,-4.8559403,-0.48675725,-1.0671701,-5.6053843
-0.35087776,-6.5323877,-3.066499,-1.8028654,-8.036563,-4.4647155,-0.50266016,-2.8123977,-1.2920313,-1.5346948,-5.7784758,-5.824393,-2.2093832,-7.0116544,-2.1496696,-2.3906183,-3.1212478,-2.1424758,-1.1948534,-4.258363,-5.518481,-3.2293854,-1.1603098,-3.3969593,-4.648341,-0.9347826,-0.5334493,-2.2036583,-4.348864,-1.406826,-3.138847,-4.4145136,-0.16405278,-1.4701862,-0.17727196,-5.5626273,-1.8593137,-1.0949345,-3.1480675,-2.3421502,-2.4148107,-3.3507318,-2.2818737,-4.040743,-0.040328555,-1.2569009,-4.8656096,-1.6308013,-2.3060458,-4.851611
-0.9291705,-4.764242,-4.3714943,-1.6097608,-5.1002026,-4.4485035,-1.8427987,-1.7285511,-1.6297154,-0.79349625,-5.239539,-6.6820545,-2.1922345,-5.81767,-2.2144203,-0.7739268,-2.2997768,-1.901778,0.07026175,-5.338861,-4.204279,-4.3885436,-0.7021032,-3.4577372,-3.8305879,-1.6432253,-1.9179516,-1.5441483,-4.8091817,-2.3467646,-2.6394215,-4.782663,-1.3625977,-1.7966344,-0.2044283,-3.6178243,-2.302877,-1.1592538,-3.7656834,-2.6027927,-2.70979,-4.5420203,-2.6598358,-4.0276856,-0.6277165,-1.9248754,-4.968502,-2.153784,-1.4455533,-5.883532
-2.0666268,-4.7296658,-4.771886,-2.1325846,-2.1702342,-4.818222,-3.5986474,-3.1134825,-2.1308331,0.5700317,-5.3949623,-6.30426,-0.26000077,-5.06231,-2.061927,-0.13443962,-0.84009963,-2.4053025,0.5780699,-7.3009906,-3.219494,-4.492404,-1.107931,-3.2827945,-4.2145166,-1.5735453,-2.3368561,-2.3608413,-3.345645,-2.659543,-1.5625495,-4.3147798,-2.549666,-2.2899368,-0.03292639,-2.7038212,-2.3834097,0.09201402,-3.713288,-2.9629703,-2.1352274,-3.7362127,-3.686471,-2.4181147,-1.4796304,-1.9965785,-4.506349,-2.1907256,-2.6082778,-5.475402
-2.2797794,-4.37267,-4.3077717,-3.1282794,-0.8289668,-4.7436976,-4.936248,-3.3749125,-1.1259553,-0.9831071,-5.0892925,-5.2109284,-0.8887146,-5.557191,-2.124431,-1.8314819,-1.2210865,-1.9798397,0.45059353,-7.4709916,-3.0588555,-4.6627235,0.15424836,-2.7104845,-4.449098,-2.1280727,-2.135546,-3.7486112,-3.261472,-2.7544358,-1.0194968,-4.595999,-2.3130035,-3.2995658,-0.43186456,-1.9907329,-1.5568982,-0.65440816,-4.1532726,-3.2051723,-1.8768166,-4.3726897,-3.8957245,-0.9869635,-1.9891151,-2.393936,-4.405694,-1.6398313,-2.605615,-5.653835
-1.2201525,-3.2913966,-3.5864594,-2.7885284,0.7285607,-4.2358093,-3.65886,-2.390488,-1.506312,-2.2831604,-5.2400956,-4.275265,-0.52931696,-3.909084,-1.83768,-3.4224093,-1.6952759,-1.8835255,-0.37738734,-5.380076,-2.4562123,-3.1598904,0.42543265,-1.9126408,-4.216536,-1.7499123,-2.2173452,-2.7305858,-3.2170813,-1.6791497,-1.8435806,-4.496037,-2.161801,-2.7749343,-1.5047067,-2.11755,-2.4555552,1.0046153,-3.4411516,-2.515315,-1.6353171,-3.9558668,-2.3713,0.36741894,-0.4619329,-2.4076014,-4.1073046,-1.6519765,-2.7012208,-4.6070747
-0.55948716,-2.3053029,-2.7170424,-1.7582307,1.8522946,-2.1670077,-2.2469532,-1.5691087,-1.403599,-1.2286811,-5.2274528,-3.0870118,-2.1440203,-3.0228367,-1.4184058,-1.5447096,-3.5419965,-2.4927692,-0.18787995,-3.165347,-0.92067206,-3.1863039,0.16747464,-1.4488491,-2.3356059,-1.8659005,-1.6355162,-0.04705922,-2.5397778,-0.22839198,-1.6900393,-3.2862732,-1.9587376,-0.8505688,-2.1497586,-2.166143,-1.7631984,-1.6349782,-1.8383983,-0.4269708,-0.8200755,-3.5000346,-2.0593174,1.0194876,-0.29220456,-1.9300828,-2.8243384,-1.3211488,-1.4621474,-4.429598
1.8062848,-0.9369896,-0.8828886,-1.8822736,2.5405118,-1.299736,-1.1278114,2.325334,-0.9760803,-1.2149434,-2.112943,-2.1498947,-2.6756227,-0.516205,-1.3764824,-2.002148,-1.3956217,-0.34994176,0.48921177,-1.3282455,-1.2278298,-3.6788692,1.0711089,0.12638903,-0.30804038,-0.11988496,-1.2636298,-2.0040603,-2.0000865,2.1212766,-1.3223951,-3.4817388,0.5194181,-1.2962253,-1.3098305,0.52253425,-2.2929614,1.7343943,-2.1441817,1.2140652,0.07596857,-1.8098665,-2.4361894,2.350375,0.41775575,-0.46136835,-3.2551272,-0.8015751,-2.4609973,-3.1860166
2.2928836,-1.35974,-0.31398904,-1.237084,5.1568756,-0.075304076,0.65062964,0.36696726,-0.16454594,-1.0213214,-1.495385,0.2574521,-1.3801261,0.73005897,-0.79459894,-1.2580523,-0.66853815,-0.47489044,0.56928957,1.4793315,0.7754981,-2.6996675,2.5416028,0.023889951,1.0407898,0.9803903,-1.6684854,-0.24807622,-2.0090873,1.3476396,-1.3541902,-1.6551911,1.1724354,-0.4188633,-0.80604637,0.47119585,-0.70451486,2.3379028,-0.66998416,-0.8980372,-0.60802615,0.18647578,-1.9823157,4.457215,1.7923516,0.26148787,-1.0604614,-0.18744737,-2.392741,-0.855569
